normalized,ids
"organizational_change","74|4117"
"reefer_container_management","443|19834"
"futures_contracts","557|11633"
"predictive_modeling","719|4555"
"split_plot_design","769|8426"
"histogram_based_learning","927|7944"
"bayesian_inference","942|8396"
"tensorflow_serving","970|8297"
"custom_layers","979|8023"
"onnx_runtime","1002|8298"
"dependency_parsing","1029|8098"
"multi_label_classification","1046|8083"
"multilingual_models","1053|8090"
"speaker_diarization","1065|8165"
"mask_r_cnn","1091|8183"
"medical_imaging","1102|8230"
"convolutional_neural_networks","1107|7997"
"optical_character_recognition","1130|8194"
"experiment_tracking","1258|8290"
"rest_apis","1284|11816"
"drift_detection","1301|5260"
"memory_optimization","1365|8461"
"spark_streaming","1391|8238"
"research_paper_writing","1531|6901"
"root_cause_analysis","1597|7087"
"cognitive_walkthrough","1601|28163"
"load_testing","1674|33849"
"performance_monitoring","1707|10558"
"dynamic_analysis","1757|23228"
"matrix_builds","1789|33634"
"visual_testing","1873|28454"
"image_recognition","1882|29622"
"unit_testing","1901|33821"
"brand_identity","2065|10694"
"fuel_systems","2109|21778"
"safety_assessment","2121|30206"
"predictive_maintenance","2151|1434"
"real_time_rendering","2183|28578"
"parts_catalogs","2210|23163"
"product_design","2248|10535"
"electrical_schematics","2271|23171"
"heat_transfer","2300|23735"
"hydraulic_systems","2324|21777"
"second_life_battery_systems","2393|30999"
"stationary_storage","2394|9452"
"part_consolidation","2406|17005"
"functional_prototypes","2409|31668"
"phased_array_ut","2548|25564"
"dimensional_metrology","2552|17016"
"certification_management","2576|10466"
"first_article_inspection","2580|26960"
"creep_testing","2593|25700"
"ferrous_metallurgy","2626|25514"
"multi_material_design","2676|17007"
"quality_inspection","2704|23150"
"industrial_iot","2709|17125"
"spot_welding","2732|16642"
"custom_themes","3256|32623"
"route_optimization","3418|26728"
"cost_optimization","3488|27169"
"google_pay","3524|31902"
"innovation_management","3719|31413"
"swot_analysis","3761|28046"
"tows_matrix","3762|28047"
"program_management","3780|35164"
"product_led_growth","3790|22757"
"custom_workflows","3896|32515"
"api_integration","3904|17214"
"resource_management","3917|23356"
"six_sigma_green_belt","4008|26989"
"hybrid_work_models","4054|29558"
"business_case_development","4083|31997"
"process_integration","4143|23770"
"membrane_separation","4153|25725"
"life_cycle_cost_analysis","4195|6172"
"model_predictive_control","4265|1165"
"alarm_management","4266|23524"
"single_crystal_xrd","4285|27910"
"robotic_welding","4321|21755"
"structural_ceramics","4324|23637"
"high_temperature_materials","4337|2424"
"life_cycle_assessment","4396|9809"
"emergency_preparedness","4419|25603"
"process_safety_management","4422|25719"
"recycling_programs","4433|22064"
"heat_stress_management","4436|592"
"business_continuity","4447|17748"
"co2_utilization","4461|34510"
"quantum_dots","4489|27202"
"optical_sensors","4517|23538"
"statistical_thermodynamics","4558|23726"
"waste_heat_recovery","4572|9202"
"hydrogen_storage","4575|34485"
"combustion_engineering","4586|23746"
"yokogawa_centum","4771|16295"
