canonical_id,merged_id,normalized
74,4117,organizational_change
443,19834,reefer_container_management
11633,557,futures_contracts
4555,719,predictive_modeling
769,8426,split_plot_design
927,7944,histogram_based_learning
8396,942,bayesian_inference
970,8297,tensorflow_serving
8023,979,custom_layers
8298,1002,onnx_runtime
8098,1029,dependency_parsing
1046,8083,multi_label_classification
8090,1053,multilingual_models
8165,1065,speaker_diarization
8183,1091,mask_r_cnn
8230,1102,medical_imaging
7997,1107,convolutional_neural_networks
8194,1130,optical_character_recognition
8290,1258,experiment_tracking
1284,11816,rest_apis
1301,5260,drift_detection
1365,8461,memory_optimization
8238,1391,spark_streaming
6901,1531,research_paper_writing
7087,1597,root_cause_analysis
28163,1601,cognitive_walkthrough
33849,1674,load_testing
1707,10558,performance_monitoring
23228,1757,dynamic_analysis
33634,1789,matrix_builds
28454,1873,visual_testing
29622,1882,image_recognition
33821,1901,unit_testing
10694,2065,brand_identity
2109,21778,fuel_systems
30206,2121,safety_assessment
2151,1434,predictive_maintenance
28578,2183,real_time_rendering
23163,2210,parts_catalogs
2248,10535,product_design
23171,2271,electrical_schematics
23735,2300,heat_transfer
21777,2324,hydraulic_systems
2393,30999,second_life_battery_systems
2394,9452,stationary_storage
2406,17005,part_consolidation
2409,31668,functional_prototypes
2548,25564,phased_array_ut
2552,17016,dimensional_metrology
2576,10466,certification_management
2580,26960,first_article_inspection
2593,25700,creep_testing
25514,2626,ferrous_metallurgy
2676,17007,multi_material_design
2704,23150,quality_inspection
17125,2709,industrial_iot
2732,16642,spot_welding
32623,3256,custom_themes
26728,3418,route_optimization
27169,3488,cost_optimization
31902,3524,google_pay
31413,3719,innovation_management
28046,3761,swot_analysis
28047,3762,tows_matrix
35164,3780,program_management
22757,3790,product_led_growth
3896,32515,custom_workflows
17214,3904,api_integration
23356,3917,resource_management
26989,4008,six_sigma_green_belt
4054,29558,hybrid_work_models
4083,31997,business_case_development
23770,4143,process_integration
4153,25725,membrane_separation
6172,4195,life_cycle_cost_analysis
4265,1165,model_predictive_control
23524,4266,alarm_management
27910,4285,single_crystal_xrd
21755,4321,robotic_welding
4324,23637,structural_ceramics
2424,4337,high_temperature_materials
9809,4396,life_cycle_assessment
4419,25603,emergency_preparedness
25719,4422,process_safety_management
4433,22064,recycling_programs
592,4436,heat_stress_management
17748,4447,business_continuity
4461,34510,co2_utilization
27202,4489,quantum_dots
23538,4517,optical_sensors
23726,4558,statistical_thermodynamics
4572,9202,waste_heat_recovery
4575,34485,hydrogen_storage
23746,4586,combustion_engineering
4771,16295,yokogawa_centum
9280,4810,wireless_networks
4826,12160,common_cause_failures
25833,4871,structural_modeling
32913,4970,pipeline_optimization
17104,4988,pipeline_orchestration
33621,5000,container_networking
5054,26140,dashboard_design
5131,12068,fatigue_management
5195,33854,aws_lambda
28137,5243,continuous_deployment
18726,5381,standard_operating_procedures
5398,18573,public_speaking
28589,5407,data_storytelling
5455,28719,brand_storytelling
28913,5480,asynchronous_communication
35092,5518,breakout_room_management
23250,5606,autocad_civil_3d
1576,1910,white_box_testing
1584,28035,beta_testing
5786,11933,voice_evacuation_systems
29639,5787,smoke_detection
21996,7278,vlan_configuration
5902,23350,refrigeration_systems
23329,5922,water_cooled_chillers
12359,6000,sds_database_management
29665,6028,asbestos_management
28819,6141,abc_analysis
9332,6216,energy_management_systems
23665,6236,coordination_meetings
30239,6242,safety_monitoring
34119,6249,leed_bd_plus_c
34120,6250,leed_o_plus_m
34155,6262,daylighting_design
23182,6263,renewable_energy_systems
6287,29464,carbon_footprint_analysis
6288,29452,embodied_carbon
29465,6289,operational_carbon
24150,6316,natural_light
29479,6320,adaptive_reuse
32612,6473,industry_reports
32642,6517,instagram_stories
6655,10717,press_release_writing
6817,32181,seasonal_updates
24235,6889,narrative_podcasts
6904,26511,mixed_methods
31375,6917,scoping_reviews
31396,6965,multiple_case_studies
1119,7027,style_transfer
7194,13066,complaint_handling
7212,8776,usage_analytics
16838,7294,rogue_ap_detection
16831,7511,password_policies
7599,9305,incident_response
7613,17776,log_analysis
10108,7788,hipaa_compliance
7879,24276,digital_forensics
7903,12513,fraud_investigation
923,7943,early_stopping
7948,931,categorical_feature_handling
7961,955,neural_architecture_search
8010,1077,multi_head_attention
8021,977,functional_api
8030,1048,few_shot_learning
1465,8036,variational_autoencoders
8072,1041,named_entity_recognition
8106,1195,retrieval_augmented_generation
8132,1456,prompt_crafting
1470,8133,style_control
8151,1486,multimodal_ai
8180,1101,instance_segmentation
33832,8251,time_travel
8286,17436,data_quality
1563,8292,model_deployment
22722,8318,a_b_testing
22722,17068,a_b_testing
22722,1309,a_b_testing
8330,1000,model_optimization
8335,27130,stored_procedures
8349,17096,calculated_fields
8374,30367,r_programming
8389,12206,confidence_intervals
790,8405,propensity_score_matching
27600,8408,survival_analysis
31371,8422,experimental_design
1406,8442,model_conversion
35075,8525,flipped_classroom
33417,8539,canvas_api
32154,8569,compliance_training
18463,8767,inclusive_hiring
8384,1497,jupyter_notebooks
16579,8986,remote_assistance
32845,9042,product_tours
9056,34801,ai_powered_learning_tools
9084,34851,assistive_technology_integration
14681,9360,modbus_ascii
2537,9472,real_time_simulation
5805,9500,relay_testing
9592,15022,motor_monitoring
9697,3869,probabilistic_forecasting
19167,9833,climate_disclosure
9900,19127,trade_secret_protection
10500,19691,category_management
10509,11475,inventory_management
4426,10568,iso_14001
10654,13759,editorial_illustration
22189,10695,brand_positioning
24573,10905,proxy_workflow
